Production_ID,Production_Date,Product_ID,Planned_Quantity,Produced_Quantity,Rejected_Quantity,Shift,Production_Line
PRD0144,2025-02-24 00:00:00,P008,348,321,11,Evening,Line 1
PRD0057,2025-02-24 00:00:00,P008,318,307,6,Morning,Line 1
PRD0137,2025-02-25 00:00:00,P003,331,308,11,Morning,Line 2
PRD0408,2025-02-26 00:00:00,P007,281,270,5,Morning,Line 1
PRD0162,2025-02-27 00:00:00,P010,371,362,5,Evening,Line 4
PRD0209,2025-02-28 00:00:00,P001,338,313,5,Evening,Line 1
PRD0479,2025-03-01 00:00:00,P006,274,266,3,Evening,Line 1
PRD0236,2025-03-02 00:00:00,P012,342,317,7,Night,Line 5
PRD0235,2025-03-04 00:00:00,P006,121,115,2,Evening,Line 1
PRD0068,2025-03-04 00:00:00,P005,348,325,4,Morning,Line 2
PRD0429,2025-03-05 00:00:00,P005,270,263,5,Morning,Line 2
PRD0492,2025-03-05 00:00:00,P011,350,339,4,Morning,Line 5
PRD0303,2025-03-06 00:00:00,P006,458,450,6,Evening,Line 1
PRD0349,2025-03-07 00:00:00,P001,203,191,4,Morning,Line 1
PRD0171,2025-03-07 00:00:00,P009,213,205,2,Evening,Line 4
PRD0078,2025-03-08 00:00:00,P005,229,220,1,Morning,Line 2
PRD0416,2025-03-08 00:00:00,P010,369,356,3,Morning,Line 4
PRD0321,2025-03-10 00:00:00,P011,425,404,7,Morning,Line 5
PRD0410,2025-03-10 00:00:00,P003,318,305,4,Morning,Line 2
PRD0079,2025-03-10 00:00:00,P008,228,218,5,Morning,Line 1
PRD0345,2025-03-10 00:00:00,P011,289,281,4,Evening,Line 5
PRD0279,2025-03-10 00:00:00,P001,147,134,5,Night,Line 1
PRD0038,2025-03-11 00:00:00,P002,192,177,4,Morning,Line 1
PRD0237,2025-03-11 00:00:00,P005,177,166,6,Morning,Line 2
PRD0359,2025-03-12 00:00:00,P001,87,85,1,Evening,Line 1
PRD0155,2025-03-13 00:00:00,P001,465,430,8,Morning,Line 1
PRD0016,2025-03-15 00:00:00,P012,205,192,6,Night,Line 5
PRD0437,2025-03-15 00:00:00,P008,287,273,8,Morning,Line 1
PRD0066,2025-03-17 00:00:00,P004,182,171,2,Morning,Line 1
PRD0215,2025-03-17 00:00:00,P002,340,320,3,Evening,Line 1
PRD0323,2025-03-19 00:00:00,P009,171,166,2,Morning,Line 4
PRD0040,2025-03-20 00:00:00,P005,266,248,5,Evening,Line 2
PRD0277,2025-03-23 00:00:00,P009,425,410,5,Evening,Line 4
PRD0135,2025-03-25 00:00:00,P008,227,213,5,Night,Line 1
PRD0246,2025-03-26 00:00:00,P002,480,458,7,Night,Line 1
PRD0241,2025-03-27 00:00:00,P004,445,440,2,Evening,Line 1
PRD0412,2025-03-27 00:00:00,P003,207,195,5,Morning,Line 2
PRD0227,2025-03-29 00:00:00,P009,406,391,10,Morning,Line 4
PRD0130,2025-03-30 00:00:00,P012,123,116,1,Night,Line 5
PRD0500,2025-04-01 00:00:00,P003,181,169,1,Night,Line 2
PRD0028,2025-04-01 00:00:00,P004,355,348,5,Morning,Line 1
PRD0290,2025-04-02 00:00:00,P003,372,353,9,Night,Line 2
PRD0432,2025-04-03 00:00:00,P008,494,479,3,Morning,Line 1
PRD0238,2025-04-03 00:00:00,P002,213,201,2,Evening,Line 1
PRD0425,2025-04-03 00:00:00,P002,253,237,2,Evening,Line 1
PRD0156,2025-04-04 00:00:00,P004,275,253,6,Night,Line 1
PRD0161,2025-04-04 00:00:00,P007,473,451,15,Morning,Line 1
PRD0188,2025-04-05 00:00:00,P001,427,415,11,Morning,Line 1
PRD0286,2025-04-08 00:00:00,P012,300,289,7,Morning,Line 5
PRD0482,2025-04-10 00:00:00,P012,284,275,7,Night,Line 5
PRD0180,2025-04-11 00:00:00,P011,155,148,1,Evening,Line 5
PRD0475,2025-04-12 00:00:00,P010,469,453,5,Evening,Line 4
PRD0098,2025-04-13 00:00:00,P007,443,419,2,Morning,Line 1
PRD0104,2025-04-13 00:00:00,P009,224,214,6,Night,Line 4
PRD0289,2025-04-13 00:00:00,P005,125,117,1,Evening,Line 2
PRD0426,2025-04-14 00:00:00,P003,181,173,4,Night,Line 2
PRD0336,2025-04-14 00:00:00,P005,151,143,5,Morning,Line 2
PRD0115,2025-04-15 00:00:00,P001,491,468,8,Morning,Line 1
PRD0313,2025-04-15 00:00:00,P001,422,405,10,Evening,Line 1
PRD0406,2025-04-16 00:00:00,P001,340,320,8,Evening,Line 1
PRD0245,2025-04-18 00:00:00,P002,422,397,4,Morning,Line 1
PRD0397,2025-04-18 00:00:00,P003,189,178,3,Evening,Line 2
PRD0271,2025-04-20 00:00:00,P002,160,151,4,Morning,Line 1
PRD0129,2025-04-20 00:00:00,P009,340,327,5,Morning,Line 4
PRD0356,2025-04-21 00:00:00,P011,275,260,4,Morning,Line 5
PRD0117,2025-04-21 00:00:00,P009,458,422,16,Morning,Line 4
PRD0368,2025-04-21 00:00:00,P003,264,241,9,Evening,Line 2
PRD0103,2025-04-21 00:00:00,P009,111,106,2,Morning,Line 4
PRD0395,2025-04-21 00:00:00,P010,431,415,10,Evening,Line 4
PRD0394,2025-04-22 00:00:00,P001,136,132,2,Evening,Line 1
PRD0367,2025-04-22 00:00:00,P008,497,475,10,Evening,Line 1
PRD0112,2025-04-25 00:00:00,P002,456,449,2,Morning,Line 1
PRD0223,2025-04-25 00:00:00,P009,311,288,6,Evening,Line 4
PRD0062,2025-04-27 00:00:00,P002,240,221,5,Night,Line 1
PRD0399,2025-04-27 00:00:00,P007,459,436,13,Morning,Line 1
PRD0175,2025-04-30 00:00:00,P002,265,257,3,Morning,Line 1
PRD0015,2025-04-30 00:00:00,P005,248,233,8,Morning,Line 2
PRD0334,2025-05-01 00:00:00,P012,459,416,16,Evening,Line 5
PRD0177,2025-05-01 00:00:00,P006,97,94,0,Evening,Line 1
PRD0418,2025-05-02 00:00:00,P012,476,457,9,Morning,Line 5
PRD0133,2025-05-04 00:00:00,P010,383,355,9,Morning,Line 4
PRD0341,2025-05-05 00:00:00,P002,293,279,10,Morning,Line 1
PRD0031,2025-05-05 00:00:00,P005,98,93,1,Evening,Line 2
PRD0125,2025-05-06 00:00:00,P006,441,407,14,Evening,Line 1
PRD0214,2025-05-06 00:00:00,P008,93,91,1,Evening,Line 1
PRD0444,2025-05-07 00:00:00,P012,440,402,12,Night,Line 5
PRD0176,2025-05-07 00:00:00,P012,209,195,3,Night,Line 5
PRD0056,2025-05-08 00:00:00,P006,348,329,5,Morning,Line 1
PRD0282,2025-05-09 00:00:00,P009,164,156,5,Morning,Line 4
PRD0378,2025-05-11 00:00:00,P003,476,468,6,Morning,Line 2
PRD0347,2025-05-11 00:00:00,P002,97,94,1,Evening,Line 1
PRD0064,2025-05-11 00:00:00,P003,136,129,4,Morning,Line 2
PRD0386,2025-05-11 00:00:00,P003,376,363,9,Evening,Line 2
PRD0485,2025-05-11 00:00:00,P005,382,364,6,Evening,Line 2
PRD0301,2025-05-13 00:00:00,P004,304,279,9,Morning,Line 1
PRD0309,2025-05-14 00:00:00,P012,463,446,5,Evening,Line 5
PRD0230,2025-05-16 00:00:00,P002,278,273,1,Evening,Line 1
PRD0032,2025-05-16 00:00:00,P010,297,269,10,Evening,Line 4
PRD0229,2025-05-16 00:00:00,P006,213,203,6,Morning,Line 1
PRD0491,2025-05-16 00:00:00,P009,182,177,3,Evening,Line 4
PRD0451,2025-05-17 00:00:00,P001,103,100,3,Morning,Line 1
PRD0061,2025-05-18 00:00:00,P004,390,363,7,Evening,Line 1
PRD0019,2025-05-20 00:00:00,P012,335,321,10,Evening,Line 5
PRD0308,2025-05-20 00:00:00,P010,295,284,3,Evening,Line 4
PRD0165,2025-05-20 00:00:00,P007,274,258,9,Night,Line 1
PRD0219,2025-05-20 00:00:00,P004,175,164,4,Evening,Line 1
PRD0484,2025-05-21 00:00:00,P010,197,187,3,Morning,Line 4
PRD0392,2025-05-23 00:00:00,P004,214,204,3,Evening,Line 1
PRD0183,2025-05-25 00:00:00,P005,100,93,2,Morning,Line 2
PRD0389,2025-05-25 00:00:00,P012,92,87,2,Morning,Line 5
PRD0243,2025-05-26 00:00:00,P008,197,185,1,Morning,Line 1
PRD0008,2025-05-26 00:00:00,P005,176,161,6,Night,Line 2
PRD0477,2025-05-28 00:00:00,P008,296,278,8,Night,Line 1
PRD0097,2025-05-28 00:00:00,P012,479,454,9,Evening,Line 5
PRD0205,2025-05-29 00:00:00,P005,323,308,9,Night,Line 2
PRD0322,2025-05-29 00:00:00,P003,192,183,1,Evening,Line 2
PRD0338,2025-05-29 00:00:00,P003,286,262,8,Evening,Line 2
PRD0461,2025-05-30 00:00:00,P005,410,394,7,Morning,Line 2
PRD0470,2025-05-31 00:00:00,P005,290,281,5,Night,Line 2
PRD0069,2025-06-01 00:00:00,P004,141,136,3,Evening,Line 1
PRD0398,2025-06-03 00:00:00,P006,288,270,10,Night,Line 1
PRD0012,2025-06-03 00:00:00,P008,252,240,9,Morning,Line 1
PRD0337,2025-06-03 00:00:00,P004,284,273,7,Night,Line 1
PRD0123,2025-06-04 00:00:00,P003,308,306,2,Morning,Line 2
PRD0354,2025-06-05 00:00:00,P007,244,231,7,Morning,Line 1
PRD0166,2025-06-05 00:00:00,P011,339,328,9,Morning,Line 5
PRD0148,2025-06-06 00:00:00,P001,369,360,1,Evening,Line 1
PRD0050,2025-06-07 00:00:00,P003,209,203,4,Night,Line 2
PRD0030,2025-06-08 00:00:00,P012,108,100,2,Morning,Line 5
PRD0260,2025-06-08 00:00:00,P011,363,348,10,Morning,Line 5
PRD0252,2025-06-08 00:00:00,P001,139,134,2,Morning,Line 1
PRD0240,2025-06-09 00:00:00,P008,285,277,8,Evening,Line 1
PRD0014,2025-06-10 00:00:00,P008,175,172,3,Evening,Line 1
PRD0239,2025-06-10 00:00:00,P004,159,151,3,Evening,Line 1
PRD0076,2025-06-10 00:00:00,P003,415,385,7,Night,Line 2
PRD0131,2025-06-12 00:00:00,P002,391,374,13,Morning,Line 1
PRD0200,2025-06-12 00:00:00,P010,458,428,10,Morning,Line 4
PRD0233,2025-06-13 00:00:00,P005,217,211,6,Evening,Line 2
PRD0269,2025-06-14 00:00:00,P011,382,370,5,Morning,Line 5
PRD0248,2025-06-14 00:00:00,P010,425,401,3,Evening,Line 4
PRD0224,2025-06-14 00:00:00,P010,462,455,2,Morning,Line 4
PRD0457,2025-06-14 00:00:00,P002,216,202,5,Morning,Line 1
PRD0086,2025-06-15 00:00:00,P003,366,346,4,Evening,Line 2
PRD0328,2025-06-15 00:00:00,P005,446,423,9,Morning,Line 2
PRD0339,2025-06-15 00:00:00,P010,104,97,2,Evening,Line 4
PRD0401,2025-06-16 00:00:00,P003,487,465,16,Evening,Line 2
PRD0196,2025-06-16 00:00:00,P006,347,329,8,Evening,Line 1
PRD0192,2025-06-17 00:00:00,P012,255,239,5,Morning,Line 5
PRD0344,2025-06-17 00:00:00,P010,467,455,10,Night,Line 4
PRD0471,2025-06-17 00:00:00,P006,186,179,1,Morning,Line 1
PRD0258,2025-06-18 00:00:00,P010,467,444,16,Evening,Line 4
PRD0329,2025-06-19 00:00:00,P002,196,184,4,Evening,Line 1
PRD0346,2025-06-19 00:00:00,P002,367,354,3,Night,Line 1
PRD0041,2025-06-21 00:00:00,P008,332,318,4,Night,Line 1
PRD0003,2025-06-21 00:00:00,P003,384,380,2,Morning,Line 2
PRD0139,2025-06-22 00:00:00,P004,405,383,12,Morning,Line 1
PRD0085,2025-06-25 00:00:00,P002,252,246,4,Morning,Line 1
PRD0208,2025-06-26 00:00:00,P007,354,333,7,Morning,Line 1
PRD0042,2025-06-26 00:00:00,P003,187,183,2,Evening,Line 2
PRD0498,2025-06-26 00:00:00,P003,472,442,12,Evening,Line 2
PRD0052,2025-06-26 00:00:00,P003,197,180,6,Evening,Line 2
PRD0447,2025-06-27 00:00:00,P004,210,205,2,Morning,Line 1
PRD0179,2025-06-27 00:00:00,P004,265,257,1,Evening,Line 1
PRD0043,2025-06-28 00:00:00,P003,381,370,6,Morning,Line 2
PRD0084,2025-06-28 00:00:00,P009,284,265,10,Evening,Line 4
PRD0225,2025-06-29 00:00:00,P003,371,362,8,Morning,Line 2
PRD0409,2025-06-29 00:00:00,P011,110,109,1,Evening,Line 5
PRD0039,2025-06-30 00:00:00,P012,493,458,15,Morning,Line 5
PRD0092,2025-07-01 00:00:00,P008,429,411,11,Night,Line 1
PRD0020,2025-07-02 00:00:00,P012,200,187,6,Morning,Line 5
PRD0253,2025-07-03 00:00:00,P004,90,86,2,Morning,Line 1
PRD0335,2025-07-03 00:00:00,P007,150,144,5,Evening,Line 1
PRD0168,2025-07-04 00:00:00,P011,172,164,2,Evening,Line 5
PRD0460,2025-07-04 00:00:00,P004,445,432,4,Night,Line 1
PRD0070,2025-07-05 00:00:00,P003,203,197,1,Morning,Line 2
PRD0305,2025-07-06 00:00:00,P007,133,125,2,Evening,Line 1
PRD0270,2025-07-07 00:00:00,P011,174,160,5,Morning,Line 5
PRD0249,2025-07-07 00:00:00,P009,240,230,2,Evening,Line 4
PRD0488,2025-07-07 00:00:00,P008,387,363,4,Evening,Line 1
PRD0391,2025-07-08 00:00:00,P011,363,334,11,Night,Line 5
PRD0459,2025-07-08 00:00:00,P003,349,336,3,Evening,Line 2
PRD0442,2025-07-09 00:00:00,P005,299,291,2,Morning,Line 2
PRD0331,2025-07-10 00:00:00,P002,264,252,1,Evening,Line 1
PRD0382,2025-07-10 00:00:00,P012,495,459,12,Evening,Line 5
PRD0427,2025-07-11 00:00:00,P011,346,329,4,Morning,Line 5
PRD0094,2025-07-12 00:00:00,P008,253,250,1,Morning,Line 1
PRD0021,2025-07-13 00:00:00,P008,175,170,2,Morning,Line 1
PRD0319,2025-07-14 00:00:00,P010,137,126,3,Evening,Line 4
PRD0439,2025-07-15 00:00:00,P005,277,266,9,Morning,Line 2
PRD0376,2025-07-16 00:00:00,P011,415,379,14,Morning,Line 5
PRD0073,2025-07-16 00:00:00,P007,326,320,2,Night,Line 1
PRD0143,2025-07-17 00:00:00,P011,245,230,7,Night,Line 5
PRD0010,2025-07-17 00:00:00,P012,183,178,1,Morning,Line 5
PRD0360,2025-07-17 00:00:00,P002,170,158,5,Morning,Line 1
PRD0202,2025-07-18 00:00:00,P008,275,264,7,Evening,Line 1
PRD0207,2025-07-19 00:00:00,P008,429,406,12,Night,Line 1
PRD0480,2025-07-19 00:00:00,P001,342,325,6,Evening,Line 1
PRD0325,2025-07-20 00:00:00,P006,356,331,12,Evening,Line 1
PRD0431,2025-07-21 00:00:00,P011,311,303,7,Evening,Line 5
PRD0473,2025-07-21 00:00:00,P006,156,150,5,Night,Line 1
PRD0330,2025-07-21 00:00:00,P002,133,126,3,Morning,Line 1
PRD0486,2025-07-22 00:00:00,P001,449,429,11,Morning,Line 1
PRD0327,2025-07-23 00:00:00,P002,221,214,2,Night,Line 1
PRD0149,2025-07-24 00:00:00,P011,425,399,7,Morning,Line 5
PRD0362,2025-07-26 00:00:00,P010,104,99,3,Morning,Line 4
PRD0385,2025-07-26 00:00:00,P001,425,410,2,Morning,Line 1
PRD0446,2025-07-27 00:00:00,P012,150,143,2,Evening,Line 5
PRD0454,2025-07-27 00:00:00,P003,296,280,4,Morning,Line 2
PRD0114,2025-07-27 00:00:00,P012,364,356,5,Evening,Line 5
PRD0497,2025-07-28 00:00:00,P002,415,389,13,Night,Line 1
PRD0053,2025-07-28 00:00:00,P007,427,407,10,Morning,Line 1
PRD0090,2025-07-29 00:00:00,P006,205,186,7,Evening,Line 1
PRD0452,2025-07-29 00:00:00,P002,351,347,1,Evening,Line 1
PRD0244,2025-07-30 00:00:00,P010,339,337,1,Morning,Line 4
PRD0370,2025-07-31 00:00:00,P010,284,267,6,Morning,Line 4
PRD0132,2025-08-01 00:00:00,P008,182,174,1,Morning,Line 1
PRD0407,2025-08-01 00:00:00,P010,164,160,2,Morning,Line 4
PRD0450,2025-08-01 00:00:00,P001,137,128,4,Morning,Line 1
PRD0089,2025-08-02 00:00:00,P012,346,332,3,Morning,Line 5
PRD0222,2025-08-02 00:00:00,P002,485,456,13,Night,Line 1
PRD0380,2025-08-02 00:00:00,P010,470,460,3,Evening,Line 4
PRD0029,2025-08-02 00:00:00,P006,401,382,3,Morning,Line 1
PRD0324,2025-08-03 00:00:00,P011,252,240,8,Morning,Line 5
PRD0310,2025-08-05 00:00:00,P004,214,203,4,Morning,Line 1
PRD0285,2025-08-07 00:00:00,P004,193,182,5,Evening,Line 1
PRD0178,2025-08-07 00:00:00,P007,327,316,5,Morning,Line 1
PRD0045,2025-08-08 00:00:00,P006,329,318,3,Night,Line 1
PRD0453,2025-08-08 00:00:00,P007,466,447,15,Morning,Line 1
PRD0080,2025-08-08 00:00:00,P010,327,309,1,Morning,Line 4
PRD0051,2025-08-08 00:00:00,P006,84,81,2,Evening,Line 1
PRD0262,2025-08-08 00:00:00,P001,256,238,6,Morning,Line 1
PRD0091,2025-08-08 00:00:00,P003,196,186,1,Evening,Line 2
PRD0216,2025-08-09 00:00:00,P010,128,123,1,Evening,Line 4
PRD0102,2025-08-10 00:00:00,P006,90,86,3,Evening,Line 1
PRD0413,2025-08-11 00:00:00,P006,89,86,1,Morning,Line 1
PRD0283,2025-08-11 00:00:00,P009,430,423,3,Night,Line 4
PRD0403,2025-08-12 00:00:00,P003,442,418,13,Evening,Line 2
PRD0379,2025-08-12 00:00:00,P003,262,255,2,Morning,Line 2
PRD0358,2025-08-13 00:00:00,P005,137,131,1,Morning,Line 2
PRD0210,2025-08-14 00:00:00,P006,160,150,1,Morning,Line 1
PRD0458,2025-08-14 00:00:00,P002,273,254,8,Evening,Line 1
PRD0369,2025-08-15 00:00:00,P003,245,231,4,Evening,Line 2
PRD0048,2025-08-15 00:00:00,P004,150,146,1,Evening,Line 1
PRD0293,2025-08-16 00:00:00,P003,101,99,0,Evening,Line 2
PRD0476,2025-08-16 00:00:00,P011,396,378,8,Morning,Line 5
PRD0217,2025-08-17 00:00:00,P007,438,426,3,Morning,Line 1
PRD0265,2025-08-17 00:00:00,P012,497,489,2,Night,Line 5
PRD0468,2025-08-17 00:00:00,P002,186,183,3,Evening,Line 1
PRD0122,2025-08-18 00:00:00,P005,435,415,11,Morning,Line 2
PRD0027,2025-08-18 00:00:00,P002,141,136,2,Morning,Line 1
PRD0430,2025-08-19 00:00:00,P005,330,318,4,Evening,Line 2
PRD0191,2025-08-20 00:00:00,P009,379,372,6,Night,Line 4
PRD0054,2025-08-21 00:00:00,P004,455,431,3,Evening,Line 1
PRD0383,2025-08-22 00:00:00,P008,411,382,7,Evening,Line 1
PRD0400,2025-08-24 00:00:00,P006,127,127,0,Evening,Line 1
PRD0096,2025-08-24 00:00:00,P012,195,192,2,Night,Line 5
PRD0306,2025-08-26 00:00:00,P008,349,337,7,Night,Line 1
PRD0044,2025-08-26 00:00:00,P004,261,246,3,Evening,Line 1
PRD0421,2025-08-26 00:00:00,P004,338,324,11,Evening,Line 1
PRD0007,2025-08-26 00:00:00,P005,246,237,8,Morning,Line 2
PRD0348,2025-08-27 00:00:00,P007,499,468,6,Evening,Line 1
PRD0420,2025-08-27 00:00:00,P006,472,467,5,Morning,Line 1
PRD0267,2025-08-28 00:00:00,P006,355,334,2,Morning,Line 1
PRD0300,2025-08-29 00:00:00,P001,122,119,1,Morning,Line 1
PRD0119,2025-08-30 00:00:00,P005,396,383,13,Evening,Line 2
PRD0314,2025-08-30 00:00:00,P001,494,471,15,Night,Line 1
PRD0422,2025-09-01 00:00:00,P006,155,145,1,Evening,Line 1
PRD0250,2025-09-01 00:00:00,P009,369,358,3,Morning,Line 4
PRD0081,2025-09-03 00:00:00,P012,205,198,6,Morning,Line 5
PRD0266,2025-09-03 00:00:00,P012,304,288,9,Evening,Line 5
PRD0434,2025-09-04 00:00:00,P011,179,177,2,Evening,Line 5
PRD0087,2025-09-04 00:00:00,P012,216,205,4,Evening,Line 5
PRD0247,2025-09-06 00:00:00,P007,207,195,5,Evening,Line 1
PRD0467,2025-09-06 00:00:00,P007,129,126,2,Evening,Line 1
PRD0371,2025-09-06 00:00:00,P003,304,293,9,Morning,Line 2
PRD0251,2025-09-07 00:00:00,P004,258,252,6,Morning,Line 1
PRD0013,2025-09-11 00:00:00,P010,184,179,4,Evening,Line 4
PRD0365,2025-09-12 00:00:00,P012,108,102,1,Morning,Line 5
PRD0001,2025-09-12 00:00:00,P010,287,278,4,Night,Line 4
PRD0106,2025-09-12 00:00:00,P002,347,329,3,Morning,Line 1
PRD0228,2025-09-12 00:00:00,P011,281,256,8,Morning,Line 5
PRD0272,2025-09-14 00:00:00,P005,357,341,8,Evening,Line 2
PRD0005,2025-09-15 00:00:00,P004,419,392,3,Morning,Line 1
PRD0474,2025-09-15 00:00:00,P012,121,115,2,Morning,Line 5
PRD0396,2025-09-16 00:00:00,P009,148,144,1,Evening,Line 4
PRD0443,2025-09-16 00:00:00,P007,485,453,12,Evening,Line 1
PRD0231,2025-09-18 00:00:00,P011,393,388,1,Morning,Line 5
PRD0496,2025-09-18 00:00:00,P005,375,359,12,Evening,Line 2
PRD0173,2025-09-18 00:00:00,P003,104,100,0,Morning,Line 2
PRD0357,2025-09-19 00:00:00,P004,455,444,7,Morning,Line 1
PRD0387,2025-09-19 00:00:00,P002,84,79,1,Evening,Line 1
PRD0264,2025-09-20 00:00:00,P004,318,298,11,Evening,Line 1
PRD0350,2025-09-20 00:00:00,P012,255,245,4,Morning,Line 5
PRD0424,2025-09-21 00:00:00,P011,318,306,6,Morning,Line 5
PRD0186,2025-09-21 00:00:00,P008,318,305,8,Morning,Line 1
PRD0316,2025-09-22 00:00:00,P005,304,302,2,Morning,Line 2
PRD0011,2025-09-22 00:00:00,P006,112,105,4,Morning,Line 1
PRD0388,2025-09-24 00:00:00,P011,136,126,2,Evening,Line 5
PRD0146,2025-09-24 00:00:00,P001,500,491,7,Night,Line 1
PRD0109,2025-09-26 00:00:00,P003,229,212,5,Evening,Line 2
PRD0105,2025-09-27 00:00:00,P002,379,366,1,Evening,Line 1
PRD0464,2025-09-29 00:00:00,P002,347,321,10,Evening,Line 1
PRD0448,2025-09-30 00:00:00,P010,111,104,1,Morning,Line 4
PRD0469,2025-09-30 00:00:00,P010,229,213,5,Evening,Line 4
PRD0194,2025-10-01 00:00:00,P003,352,341,9,Night,Line 2
PRD0435,2025-10-03 00:00:00,P012,195,192,3,Evening,Line 5
PRD0232,2025-10-04 00:00:00,P010,190,174,6,Morning,Line 4
