Purchase_ID,Purchase_Date,Supplier_ID,Material_ID,Purchase_Quantity,Unit_Cost,Discount_Percent,GST_Percent,Delivery_Status
PUR0375,25/02/2025 00:00,S006,RM004,471,240.8,0,18,Delivered
PUR0692,26/02/2025 00:00,S024,RM022,226,56.03,5,18,Delivered
PUR0006,26/02/2025 00:00,S002,RM011,795,129.45,10,18,Delivered
PUR0326,26/02/2025 00:00,S008,RM012,323,92.58,0,18,Delivered
PUR0203,26/02/2025 00:00,S006,RM018,1147,619.5,7,18,Partial
PUR0085,27/02/2025 00:00,S016,RM005,440,428.79,5,18,Delayed
PUR0243,28/02/2025 00:00,S008,RM014,76,1520.31,3,18,Partial
PUR0026,28/02/2025 00:00,S014,RM019,734,180.8,2,18,Delayed
PUR0142,01/03/2025 00:00,S018,RM015,150,272.53,0,18,Delayed
PUR0460,01/03/2025 00:00,S007,RM005,352,427.92,5,18,Delayed
PUR0135,01/03/2025 00:00,S014,RM008,243,44.92,0,18,Delayed
PUR0042,02/03/2025 00:00,S005,RM014,257,1384.5,2,18,Partial
PUR0490,02/03/2025 00:00,S021,RM017,156,204.42,0,18,Delivered
PUR0169,02/03/2025 00:00,S016,RM012,206,92.67,7,18,Delivered
PUR0322,03/03/2025 00:00,S024,RM022,435,53.33,0,18,Delivered
PUR0589,03/03/2025 00:00,S023,RM020,308,362.18,5,18,Delivered
PUR0497,03/03/2025 00:00,S012,RM009,194,73.06,0,18,Delivered
PUR0201,03/03/2025 00:00,S025,RM024,136,16.94,5,12,Delivered
PUR0062,03/03/2025 00:00,S018,RM019,103,180.85,0,18,Partial
PUR0390,03/03/2025 00:00,S027,RM023,272,68.14,7,12,Delayed
PUR0108,04/03/2025 00:00,S020,RM015,110,255.59,0,18,Delivered
PUR0107,06/03/2025 00:00,S018,RM014,367,1431.79,0,18,Delayed
PUR0292,06/03/2025 00:00,S021,RM017,226,221.27,7,18,Delivered
PUR0555,06/03/2025 00:00,S007,RM018,291,649.18,5,18,Partial
PUR0238,08/03/2025 00:00,S022,RM024,230,18.82,5,12,Delayed
PUR0172,09/03/2025 00:00,S011,RM006,162,89.97,2,18,Delivered
PUR0672,09/03/2025 00:00,S014,RM001,925,619.6,10,18,Delivered
PUR0121,10/03/2025 00:00,S025,RM025,327,30.46,5,12,Delivered
PUR0122,10/03/2025 00:00,S015,RM021,203,34.35,0,18,Delivered
PUR0345,10/03/2025 00:00,S004,RM003,119,338.9,0,18,Delivered
PUR0269,10/03/2025 00:00,S027,RM025,100,30.56,3,12,Delivered
PUR0609,10/03/2025 00:00,S006,RM005,260,425.65,0,18,Delivered
PUR0140,10/03/2025 00:00,S001,RM020,100,330.53,5,18,Delivered
PUR0444,11/03/2025 00:00,S024,RM022,105,57.23,0,18,Delivered
PUR0662,11/03/2025 00:00,S018,RM013,436,458.35,3,18,Delivered
PUR0454,12/03/2025 00:00,S023,RM020,97,334.43,10,18,Delivered
PUR0101,12/03/2025 00:00,S026,RM023,191,62.75,0,12,Delivered
PUR0566,13/03/2025 00:00,S027,RM023,284,69.83,5,12,Delivered
PUR0049,13/03/2025 00:00,S005,RM005,115,403.83,0,18,Delivered
PUR0380,15/03/2025 00:00,S011,RM011,423,129.4,5,18,Delivered
PUR0512,15/03/2025 00:00,S018,RM014,435,1511.4,0,18,Delivered
PUR0265,15/03/2025 00:00,S018,RM019,834,199.9,7,18,Delayed
PUR0021,15/03/2025 00:00,S013,RM015,279,255.54,0,18,Delayed
PUR0417,16/03/2025 00:00,S020,RM014,239,1382,5,18,Delivered
PUR0171,17/03/2025 00:00,S022,RM023,760,69.67,7,12,Delivered
PUR0177,17/03/2025 00:00,S016,RM018,410,604.78,0,18,Delayed
PUR0501,17/03/2025 00:00,S022,RM023,93,62.8,0,12,Delivered
PUR0603,17/03/2025 00:00,S013,RM007,120,118.79,0,18,Delivered
PUR0666,18/03/2025 00:00,S009,RM020,391,344.15,0,18,Delivered
PUR0304,18/03/2025 00:00,S022,RM023,456,69.45,7,12,Delivered
PUR0098,18/03/2025 00:00,S001,RM015,353,263.51,0,18,Delivered
PUR0225,20/03/2025 00:00,S002,RM003,125,327.04,5,18,Delivered
PUR0204,23/03/2025 00:00,S018,RM013,310,460.47,0,18,Delayed
PUR0276,23/03/2025 00:00,S017,RM019,454,182.09,5,18,Delivered
PUR0388,24/03/2025 00:00,S012,RM009,148,69.12,0,18,Delivered
PUR0138,25/03/2025 00:00,S020,RM014,373,1430.14,0,18,Delivered
PUR0483,27/03/2025 00:00,S026,RM025,155,33.06,10,12,Delivered
PUR0198,27/03/2025 00:00,S027,RM025,311,33.86,5,12,Delivered
PUR0117,27/03/2025 00:00,S021,RM017,279,220.95,0,18,Delivered
PUR0308,28/03/2025 00:00,S004,RM021,229,35.36,3,18,Delivered
PUR0065,28/03/2025 00:00,S014,RM010,255,790.27,5,18,Delivered
PUR0673,28/03/2025 00:00,S010,RM008,99,42.55,0,18,Delivered
PUR0095,29/03/2025 00:00,S026,RM023,108,68.63,2,12,Delivered
PUR0387,29/03/2025 00:00,S004,RM021,252,34.24,0,18,Delivered
PUR0280,29/03/2025 00:00,S011,RM002,136,183.07,0,18,Delivered
PUR0128,30/03/2025 00:00,S024,RM022,297,54.18,7,18,Delivered
PUR0536,31/03/2025 00:00,S003,RM021,71,32.95,0,18,Delivered
PUR0532,31/03/2025 00:00,S024,RM022,280,58.28,5,18,Partial
PUR0467,01/04/2025 00:00,S008,RM012,478,89.71,5,18,Delivered
PUR0052,02/04/2025 00:00,S007,RM005,303,428.39,0,18,Delivered
PUR0302,03/04/2025 00:00,S008,RM004,169,230.14,2,18,Delivered
PUR0541,04/04/2025 00:00,S026,RM024,180,17.73,3,12,Delivered
PUR0533,04/04/2025 00:00,S016,RM004,203,231.01,0,18,Delivered
PUR0221,05/04/2025 00:00,S014,RM013,234,479.33,5,18,Delivered
PUR0432,07/04/2025 00:00,S026,RM025,306,31.26,2,12,Delivered
PUR0656,07/04/2025 00:00,S008,RM004,298,259.12,2,18,Delivered
PUR0562,08/04/2025 00:00,S018,RM019,896,184.5,5,18,Delivered
PUR0343,09/04/2025 00:00,S023,RM020,307,344.72,3,18,Delivered
PUR0698,09/04/2025 00:00,S016,RM005,161,414.08,5,18,Delivered
PUR0624,10/04/2025 00:00,S002,RM021,619,33.18,7,18,Delivered
PUR0277,10/04/2025 00:00,S026,RM025,110,30.58,0,12,Delivered
PUR0573,10/04/2025 00:00,S002,RM003,311,314.39,10,18,Delivered
PUR0664,11/04/2025 00:00,S015,RM011,337,118.03,0,18,Delivered
PUR0588,11/04/2025 00:00,S024,RM022,230,57.95,5,18,Delivered
PUR0186,12/04/2025 00:00,S024,RM022,113,52.01,7,18,Delivered
PUR0192,13/04/2025 00:00,S022,RM023,252,67.18,0,12,Delivered
PUR0094,13/04/2025 00:00,S002,RM002,206,177.62,0,18,Delivered
PUR0202,15/04/2025 00:00,S007,RM004,133,251.62,2,18,Partial
PUR0655,17/04/2025 00:00,S022,RM024,138,18.95,5,12,Delivered
PUR0200,17/04/2025 00:00,S009,RM007,225,112.42,0,18,Delivered
PUR0636,18/04/2025 00:00,S026,RM024,613,18.68,0,12,Delivered
PUR0574,19/04/2025 00:00,S024,RM022,103,56.62,5,18,Delayed
PUR0038,19/04/2025 00:00,S027,RM023,257,63.19,5,12,Delivered
PUR0409,19/04/2025 00:00,S016,RM012,141,90.11,0,18,Delivered
PUR0633,20/04/2025 00:00,S018,RM014,95,1426,2,18,Delivered
PUR0494,20/04/2025 00:00,S009,RM007,287,106.02,10,18,Delivered
PUR0032,20/04/2025 00:00,S018,RM015,171,253.72,0,18,Delivered
PUR0124,21/04/2025 00:00,S010,RM006,133,84.25,0,18,Delivered
PUR0405,23/04/2025 00:00,S019,RM020,153,344.42,2,18,Delivered
PUR0337,23/04/2025 00:00,S003,RM021,239,33.72,0,18,Delivered
PUR0487,23/04/2025 00:00,S011,RM010,176,800.28,2,18,Delivered
PUR0037,24/04/2025 00:00,S006,RM005,197,440.51,3,18,Delivered
PUR0606,24/04/2025 00:00,S003,RM021,320,32.96,5,18,Delivered
PUR0289,25/04/2025 00:00,S025,RM023,231,64.76,3,12,Delayed
PUR0283,25/04/2025 00:00,S022,RM023,254,63.58,2,12,Delivered
PUR0403,25/04/2025 00:00,S014,RM008,146,43.28,10,18,Delivered
PUR0425,25/04/2025 00:00,S004,RM002,82,183.66,3,18,Delivered
PUR0028,26/04/2025 00:00,S008,RM004,267,253.36,0,18,Delivered
PUR0227,27/04/2025 00:00,S025,RM023,151,64.38,2,12,Delivered
PUR0184,27/04/2025 00:00,S026,RM024,449,18.75,5,12,Delivered
PUR0660,28/04/2025 00:00,S024,RM022,410,59.12,0,18,Delivered
PUR0433,30/04/2025 00:00,S013,RM008,246,44.22,2,18,Delivered
PUR0174,30/04/2025 00:00,S010,RM007,152,105.88,7,18,Delivered
PUR0007,01/05/2025 00:00,S026,RM024,455,18.1,0,12,Delivered
PUR0614,01/05/2025 00:00,S008,RM012,442,97.23,0,18,Delivered
PUR0104,01/05/2025 00:00,S018,RM013,361,475.84,0,18,Delayed
PUR0548,02/05/2025 00:00,S008,RM014,196,1380.15,3,18,Delivered
PUR0097,02/05/2025 00:00,S012,RM009,104,72.54,2,18,Delivered
PUR0510,03/05/2025 00:00,S003,RM011,196,128.47,5,18,Delivered
PUR0629,03/05/2025 00:00,S025,RM023,262,67.28,0,12,Delivered
PUR0472,03/05/2025 00:00,S013,RM019,460,183.02,2,18,Delivered
PUR0018,04/05/2025 00:00,S007,RM005,97,431.86,0,18,Delivered
PUR0596,04/05/2025 00:00,S014,RM019,156,184.67,5,18,Partial
PUR0464,04/05/2025 00:00,S013,RM010,278,760.48,2,18,Partial
PUR0385,05/05/2025 00:00,S028,RM015,302,250.33,3,18,Delivered
PUR0685,06/05/2025 00:00,S014,RM008,320,43.95,7,18,Delivered
PUR0025,07/05/2025 00:00,S017,RM015,217,265.91,10,18,Delivered
PUR0670,07/05/2025 00:00,S009,RM001,238,682.95,0,18,Delivered
PUR0691,08/05/2025 00:00,S004,RM021,159,36.32,0,18,Delivered
PUR0586,09/05/2025 00:00,S003,RM011,329,129.77,3,18,Delivered
PUR0476,09/05/2025 00:00,S019,RM013,193,510.78,2,18,Delivered
PUR0047,11/05/2025 00:00,S021,RM017,1209,221.41,0,18,Delivered
PUR0279,11/05/2025 00:00,S005,RM014,293,1460.12,0,18,Delivered
PUR0295,13/05/2025 00:00,S017,RM013,122,507.32,0,18,Delivered
PUR0580,14/05/2025 00:00,S021,RM017,251,197.53,7,18,Delivered
PUR0697,15/05/2025 00:00,S018,RM019,191,195.3,0,18,Delivered
PUR0473,16/05/2025 00:00,S018,RM020,435,360.98,7,18,Delivered
PUR0220,16/05/2025 00:00,S024,RM022,195,57.17,0,18,Delivered
PUR0176,16/05/2025 00:00,S011,RM002,464,193.2,10,18,Delivered
PUR0601,16/05/2025 00:00,S018,RM019,836,194,2,18,Partial
PUR0469,16/05/2025 00:00,S003,RM021,177,32.98,5,18,Delivered
PUR0058,19/05/2025 00:00,S010,RM008,204,46.62,10,18,Delayed
PUR0234,19/05/2025 00:00,S001,RM013,183,475.3,2,18,Delivered
PUR0520,19/05/2025 00:00,S011,RM013,191,480.18,0,18,Delivered
PUR0491,20/05/2025 00:00,S027,RM024,458,19.13,7,12,Delivered
PUR0262,20/05/2025 00:00,S003,RM002,87,173.17,10,18,Delivered
PUR0134,21/05/2025 00:00,S004,RM011,143,118.56,0,18,Delivered
PUR0219,21/05/2025 00:00,S014,RM013,107,470.63,3,18,Delivered
PUR0529,21/05/2025 00:00,S012,RM009,278,74.93,10,18,Delivered
PUR0009,22/05/2025 00:00,S024,RM022,395,53.92,0,18,Delivered
PUR0148,22/05/2025 00:00,S004,RM021,234,32.92,10,18,Delivered
PUR0493,22/05/2025 00:00,S015,RM002,145,189.67,2,18,Delayed
PUR0696,23/05/2025 00:00,S013,RM007,163,109.99,5,18,Delayed
PUR0551,24/05/2025 00:00,S007,RM005,76,438.45,3,18,Delivered
PUR0100,24/05/2025 00:00,S013,RM019,263,180.73,2,18,Delivered
PUR0214,24/05/2025 00:00,S003,RM003,253,333.85,5,18,Delivered
PUR0401,26/05/2025 00:00,S001,RM001,236,657.61,5,18,Delivered
PUR0526,26/05/2025 00:00,S009,RM007,105,111.85,0,18,Delayed
PUR0195,26/05/2025 00:00,S028,RM015,320,269.35,2,18,Delayed
PUR0168,27/05/2025 00:00,S027,RM023,62,66.13,7,12,Delivered
PUR0430,27/05/2025 00:00,S022,RM024,709,18.92,3,12,Partial
PUR0625,27/05/2025 00:00,S019,RM013,329,461.56,0,18,Delayed
PUR0447,28/05/2025 00:00,S002,RM003,338,326.92,5,18,Delivered
PUR0379,28/05/2025 00:00,S010,RM010,187,839.84,0,18,Delivered
PUR0424,28/05/2025 00:00,S002,RM002,262,171.22,10,18,Delivered
PUR0287,29/05/2025 00:00,S014,RM010,420,795.24,5,18,Delivered
PUR0161,30/05/2025 00:00,S017,RM013,201,491.64,2,18,Delivered
PUR0088,30/05/2025 00:00,S012,RM009,78,67.93,0,18,Delivered
PUR0333,30/05/2025 00:00,S027,RM024,132,18.25,5,12,Delivered
PUR0523,30/05/2025 00:00,S024,RM022,153,55.99,0,18,Delivered
PUR0593,31/05/2025 00:00,S008,RM018,375,659.13,10,18,Delivered
PUR0067,02/06/2025 00:00,S021,RM017,383,220.17,0,18,Delayed
PUR0307,04/06/2025 00:00,S006,RM012,323,99.21,5,18,Delivered
PUR0674,04/06/2025 00:00,S022,RM025,178,31.42,0,12,Delivered
PUR0686,05/06/2025 00:00,S005,RM018,724,611.18,0,18,Delivered
PUR0634,06/06/2025 00:00,S023,RM015,149,259.31,2,18,Delivered
PUR0294,06/06/2025 00:00,S008,RM004,248,240.13,5,18,Delivered
PUR0014,08/06/2025 00:00,S024,RM022,148,53.5,0,18,Delivered
PUR0303,08/06/2025 00:00,S012,RM016,161,179.26,0,18,Delivered
PUR0550,09/06/2025 00:00,S015,RM003,465,332.56,0,18,Delivered
PUR0355,09/06/2025 00:00,S017,RM015,191,259.47,5,18,Delayed
PUR0368,10/06/2025 00:00,S004,RM002,215,179.64,0,18,Delivered
PUR0318,11/06/2025 00:00,S012,RM016,94,175.39,0,18,Partial
PUR0256,12/06/2025 00:00,S012,RM016,94,170.79,0,18,Delivered
PUR0414,12/06/2025 00:00,S001,RM010,108,812.2,5,18,Delivered
PUR0374,12/06/2025 00:00,S002,RM003,281,325.31,0,18,Partial
PUR0680,13/06/2025 00:00,S018,RM014,233,1507.05,7,18,Delayed
PUR0626,13/06/2025 00:00,S020,RM020,157,369.26,3,18,Partial
PUR0348,14/06/2025 00:00,S003,RM002,351,184.49,2,18,Delivered
PUR0363,14/06/2025 00:00,S014,RM020,125,341.64,10,18,Delivered
PUR0508,15/06/2025 00:00,S009,RM006,177,88.13,3,18,Delayed
PUR0327,15/06/2025 00:00,S019,RM020,291,332.81,0,18,Delivered
PUR0369,15/06/2025 00:00,S020,RM019,374,188.54,0,18,Delivered
PUR0570,15/06/2025 00:00,S010,RM019,146,183.67,3,18,Delivered
PUR0367,15/06/2025 00:00,S008,RM004,163,230.73,0,18,Delivered
PUR0164,15/06/2025 00:00,S010,RM007,117,106.51,3,18,Delivered
PUR0079,16/06/2025 00:00,S028,RM020,445,366.83,5,18,Delivered
PUR0370,16/06/2025 00:00,S007,RM005,180,417.97,2,18,Delivered
PUR0413,17/06/2025 00:00,S028,RM020,152,333.55,0,18,Delivered
PUR0499,17/06/2025 00:00,S008,RM012,299,91.71,5,18,Delivered
PUR0056,18/06/2025 00:00,S025,RM025,270,31.81,0,12,Delivered
PUR0331,19/06/2025 00:00,S028,RM013,1147,480.83,0,18,Delivered
PUR0438,20/06/2025 00:00,S015,RM002,350,183.19,5,18,Delivered
PUR0286,21/06/2025 00:00,S015,RM021,473,35.16,0,18,Delivered
PUR0552,21/06/2025 00:00,S012,RM009,716,68.42,3,18,Delivered
PUR0027,22/06/2025 00:00,S017,RM015,156,254.12,3,18,Delivered
PUR0500,22/06/2025 00:00,S028,RM010,482,825.41,5,18,Delivered
PUR0354,23/06/2025 00:00,S003,RM021,75,35.86,0,18,Delivered
PUR0376,23/06/2025 00:00,S028,RM013,267,460,3,18,Delivered
PUR0224,23/06/2025 00:00,S022,RM023,568,69.2,2,12,Delayed
PUR0298,24/06/2025 00:00,S012,RM009,222,74.25,5,18,Partial
PUR0613,25/06/2025 00:00,S016,RM018,180,641.65,0,18,Delivered
PUR0199,25/06/2025 00:00,S022,RM023,550,65.25,5,12,Delivered
PUR0647,25/06/2025 00:00,S014,RM008,518,48.59,7,18,Delayed
PUR0334,25/06/2025 00:00,S015,RM011,357,133.63,2,18,Partial
PUR0059,25/06/2025 00:00,S024,RM022,312,54.23,7,18,Delivered
PUR0404,26/06/2025 00:00,S025,RM023,486,69.49,0,12,Delayed
PUR0102,28/06/2025 00:00,S009,RM006,66,86.88,0,18,Delivered
PUR0197,28/06/2025 00:00,S016,RM014,161,1491.34,0,18,Delayed
PUR0594,28/06/2025 00:00,S008,RM018,142,586.04,0,18,Delivered
PUR0511,29/06/2025 00:00,S028,RM010,349,739.89,0,18,Delivered
PUR0486,29/06/2025 00:00,S007,RM004,220,252.68,0,18,Delivered
PUR0210,29/06/2025 00:00,S023,RM010,259,830.72,7,18,Delivered
PUR0175,29/06/2025 00:00,S015,RM003,307,324.53,2,18,Delivered
PUR0351,30/06/2025 00:00,S027,RM025,662,31.43,2,12,Delivered
PUR0383,30/06/2025 00:00,S002,RM011,1178,119.67,5,18,Delivered
PUR0005,01/07/2025 00:00,S002,RM021,193,37.28,0,18,Delivered
PUR0602,01/07/2025 00:00,S022,RM025,282,32.23,10,12,Delivered
PUR0480,01/07/2025 00:00,S003,RM011,235,133.04,3,18,Delivered
PUR0688,02/07/2025 00:00,S011,RM021,126,36.24,5,18,Delivered
PUR0017,02/07/2025 00:00,S005,RM018,313,596.02,2,18,Delivered
PUR0488,02/07/2025 00:00,S017,RM013,160,482.93,5,18,Delivered
PUR0657,02/07/2025 00:00,S004,RM002,164,174.75,0,18,Delivered
PUR0099,03/07/2025 00:00,S026,RM025,150,32.57,10,12,Delivered
PUR0396,03/07/2025 00:00,S021,RM017,254,209.68,3,18,Delivered
PUR0663,04/07/2025 00:00,S014,RM013,432,455.35,0,18,Delivered
PUR0643,04/07/2025 00:00,S011,RM019,450,190.1,0,18,Delivered
PUR0693,04/07/2025 00:00,S019,RM015,256,254.36,0,18,Delivered
PUR0040,05/07/2025 00:00,S003,RM011,187,119.79,0,18,Delivered
PUR0086,05/07/2025 00:00,S005,RM012,716,94.67,0,18,Delivered
PUR0136,05/07/2025 00:00,S001,RM001,104,655.54,2,18,Delivered
PUR0360,06/07/2025 00:00,S014,RM015,178,255.76,5,18,Delivered
